transcriptid	foldchange	DEstatus
19 rna-NM_001272151.1 NC_004353.4+ 989725-990502,992066-992246,996512-996749,997707-997883,998623-998693,1004158-1004373,1004470-1004618,1005807-1006009,1006066-1007922	1	FALSE
20 rna-NM_079899.4 NC_004353.4+ 989725-990502,992066-992246,996512-996749,997707-997883,998623-998705,1004158-1004412,1004470-1004618,1005807-1006009,1006066-1006288	1	FALSE
21 rna-NM_001272140.1 NC_004353.4+ 680270-680304,680440-681135,684581-687565	1	FALSE
22 rna-NM_001272141.1 NC_004353.4+ 671142-671616,680440-681135,684581-687565	1	FALSE
23 rna-NM_143677.4 NC_004353.4+ 680593-681135,684581-689595	1	FALSE
24 rna-NM_001258496.3 NC_004353.4+ 501810-501857,503851-504138,515582-515631,521473-523104,524331-524512,524904-526520,529693-531093,531159-531379,531436-531783,532786-532926,532983-535880,537175-537760,538538-538604,538659-540874	1	FALSE
25 rna-NM_001272130.1 NC_004353.4+ 501810-501857,503851-504138,515582-515631,521473-523104,524331-524512,524904-526520,529693-531093,531156-531379,531436-531783,532783-532926,532983-535880,536966-537075,537175-538373	1	FALSE
26 rna-NM_079884.5 NC_004353.4+ 501810-501857,503851-504138,515582-515631,521473-523104,524331-524512,524904-526520,529693-531093,531156-531379,531436-531783,532783-532926,532983-535880,537175-537760,538538-538604,538659-539792	1	FALSE
27 rna-NM_001014693.2 NC_004353.4+ 704651-705273,707492-707671,710917-711082,712493-712673,713858-714512,717127-717300,717654-717929,719274-719628,720322-721173	1	FALSE
28 rna-NM_001014694.2 NC_004353.4+ 707429-707671,710917-711082,712493-712673,713858-714512,717127-717300,717654-717929,719274-719628,720322-721173	1	FALSE
29 rna-NM_079889.3 NC_004353.4+ 704651-705273,710917-711082,712493-712673,713858-714512,717127-717300,717654-717929,719274-719628,720322-721173	1	FALSE
30 rna-NM_166789.2 NC_004353.4+ 697689-697883,710917-711082,712493-712673,713858-714512,717127-717300,717654-717929,719274-719628,720322-721173	1	FALSE
31 rna-NM_079883.3 NC_004353.4+ 445504-447035,447101-447235,449924-449968,450242-450316,450371-450509,451190-451454,452618-452744,452803-452890,452972-453947	1	FALSE
32 rna-NM_166759.2 NC_004353.4+ 446578-446751,446821-447035,447101-447235,449924-449968,450242-450316,450371-450509,451190-451454,452618-452744,452803-452890,452972-453947	1	FALSE
33 rna-NM_166760.2 NC_004353.4+ 446093-446486,446631-446751,446821-447035,447101-447235,449924-449968,450242-450316,450371-450509,451190-451454,452618-452744,452803-452890,452972-453947	1	FALSE
34 rna-NM_166761.2 NC_004353.4+ 446093-446486,446631-447035,447101-447235,450242-450316,450371-450509,451190-451454,452618-452744,452803-452890,452972-453947	1	FALSE
35 rna-NM_166764.2 NC_004353.4+ 445504-445648,447101-447235,450242-450316,450371-450509,451190-451454,452618-452744,452803-452890,452972-453947	1	FALSE
36 rna-NM_001272132.1 NC_004353.4+ 559664-559893,560095-560300,560349-560411,560471-560583,560718-560820,564361-564479,564541-564662,565410-565515,565601-567257	1	FALSE
37 rna-NM_001272133.1 NC_004353.4+ 558223-558269,560095-560300,560349-560411,560471-560583,560718-560820,564361-564479,564541-564662,565407-565515,565601-565931	1	FALSE
38 rna-NM_001272134.1 NC_004353.4+ 558223-558300,560095-560300,560372-560411,560471-560583,560718-560820,564361-564479,564541-564662,565410-565515,565601-567257	1	FALSE
39 rna-NM_079885.2 NC_004353.4+ 558016-558168,560095-560300,560349-560411,560471-560583,560718-560820,564361-564479,564541-564662,565407-565515,565601-565931	1	FALSE
40 rna-NM_166767.2 NC_004353.4+ 558016-558168,560098-560300,560349-560411,560471-560583,560718-560820,564361-564479,564541-564662,565410-565515,565601-565931	1	FALSE
41 rna-NM_166768.2 NC_004353.4+ 558223-558300,560098-560300,560349-560411,560471-560583,560718-560820,564361-564479,564541-564662,565410-565515,565601-565931	1	FALSE
42 rna-NM_166769.2 NC_004353.4+ 558223-558300,560095-560300,560372-560411,560471-560583,560718-560820,564361-564479,564541-564662,565407-565515,565601-567257	1	FALSE
43 rna-NM_001169353.2 NC_004353.4+ 610684-610896,611285-611438,611513-611655,611727-611806,613615-613795,613937-614422,615036-615923,616005-616181,617304-617351,618348-618476,618536-618631,618693-619063,619637-619783,619848-620107,620254-620734	1	FALSE
44 rna-NM_079886.5 NC_004353.4+ 610684-610896,611285-611655,611727-611806,613615-613795,613937-614422,615036-615923,616005-616181,617304-617351,618348-618476,618536-618631,618693-619063,619637-619783,619848-620177,620254-620926	1	FALSE
45 rna-NM_166774.3 NC_004353.4+ 610684-610896,611285-611655,611727-611806,613615-613795,613937-614422,615036-615923,616005-616181,617304-617351,618348-618476,618536-618631,618693-619063,619637-619783,619848-620351	1	FALSE
46 rna-NM_166775.4 NC_004353.4+ 610684-610896,611285-611655,611727-611806,613615-613795,613937-614422,615036-615923,616005-616181,618348-618476,618536-618631,618693-619063,619637-619783,619848-620177,620254-620926	1	FALSE
47 rna-NM_166776.4 NC_004353.4+ 610684-610896,611285-611655,611727-611806,613615-613795,613937-614422,615036-615923,616005-616181,618348-618476,618536-618631,618693-619063,619637-619783,619848-620177,620254-621872,621929-622470	1	FALSE
48 rna-NM_166777.4 NC_004353.4+ 610684-610896,611285-611438,611513-611655,611727-611806,613615-613795,613937-614422,615036-615923,616005-616181,618348-618476,618536-618631,618693-619063,619637-619783,619848-620177,620254-620926	1	FALSE
49 rna-NM_001258482.2 NC_004353.4+ 210224-210486,210582-210680,211590-211794,211854-211982,212628-212729,212791-213165	1	FALSE
50 rna-NM_001258483.2 NC_004353.4+ 210224-210486,210558-210680,211590-211794,211854-211982,212115-212274,212628-212729,212791-213165	1	FALSE
51 rna-NM_001297781.1 NC_004353.4+ 210224-210486,210558-210680,212628-212729,212791-213165	1	FALSE
52 rna-NM_001297782.1 NC_004353.4+ 210224-210362,210438-210486,210558-210680,211854-211982,212628-212729,212791-213165	1	FALSE
53 rna-NM_143651.6 NC_004353.4+ 210224-210486,210558-210680,211590-211794,211854-211982,212628-212729,212791-213165	1	FALSE
54 rna-NM_166743.3 NC_004353.4+ 210224-210362,210438-210486,210558-210680,211590-211794,211854-211982,212628-212729,212791-213165	1	FALSE
55 rna-NM_166744.3 NC_004353.4+ 210224-210486,210558-210675,211639-211794,211854-211982,212628-212729,212791-213165	1	FALSE
56 rna-NM_143655.4 NC_004353.4+ 227922-228240,228905-229571,229911-230428	1	FALSE
57 rna-NM_001169350.2 NC_004353.4+ 231850-231977,232279-232848,234265-234345,236395-236475,237269-237559,240314-240398,240645-240833,242461-242679,243170-243585,243634-243748,245180-245903	1	FALSE
58 rna-NM_001169351.2 NC_004353.4+ 231426-231627,231935-231977,232279-232848,234265-234345,236395-236475,237269-237559,240314-240398,240645-240833,242461-242679,243170-243585,243634-243748,245180-245903	1	FALSE
59 rna-NM_001169352.2 NC_004353.4+ 231426-231600,231935-231977,234265-234345,236395-236475,237269-237559,240314-240398,240645-240833,242461-242679,243170-243585,243634-243748,245180-245903	1	FALSE
60 rna-NM_001258484.2 NC_004353.4+ 231426-231600,231935-231977,234265-234345,234864-234944,236395-236475,237269-237559,240314-240398,240645-240833,242461-242679,243170-243585,243634-243748,244418-244834,245180-245903	1	FALSE
61 rna-NM_001258485.2 NC_004353.4+ 231426-231600,231935-231977,234265-234345,234864-234944,236395-236475,237269-237559,239938-240072,240314-240398,240645-240833,242461-242679,243170-243585,243634-243748,244418-244834,245180-245903	1	FALSE
62 rna-NM_001272120.1 NC_004353.4+ 231426-231627,231935-231977,232279-232848,234265-234345,236395-236475,237269-237559,240314-240398,240645-240833,242488-242679,243266-243585,243634-243748,245180-245903	1	FALSE
63 rna-NM_143656.2 NC_004353.4+ 230730-230895,231935-231977,232279-232848,234265-234345,234864-234944,236395-236475,237269-237559,240314-240398,243266-243585,243634-243748,245180-245903	1	FALSE
64 rna-NM_166746.3 NC_004353.4+ 231426-231627,231935-231977,234265-234345,236395-236475,237269-237559,240314-240398,240645-240833,243266-243585,243634-243748,245180-245903	1	FALSE
65 rna-NM_166747.3 NC_004353.4+ 231426-231600,231935-231977,232279-232848,234265-234345,236395-236475,237269-237559,240314-240398,240645-240833,242461-242679,243170-243585,243634-243748,245180-245903	1	FALSE
66 rna-NM_205866.3 NC_004353.4+ 231426-231627,231935-231977,234265-234345,236395-236475,237269-237559,240314-240398,240645-241318	1	FALSE
67 rna-NM_001258491.3 NC_004353.4+ 359938-360358,360587-361006,362304-362613,362671-362882,362946-363134,363494-363645,363868-364941,365674-365805,365860-366762,369507-369744,369810-369964,371091-371357,371813-372176,372250-372784	1	FALSE
68 rna-NM_079882.4 NC_004353.4+ 359938-360284,360587-361006,362304-362613,362671-362882,362946-363134,363494-363639,363868-364941,365674-366762,369507-369744,369810-369964,371091-371357,371813-372176,372250-372784	1	FALSE
69 rna-NM_166756.3 NC_004353.4+ 359938-359980,360587-361006,362304-362613,362671-362882,362946-363134,363494-363639,363868-364941,365674-366762,369507-369744,369810-369964,371091-371357,371813-372176,372250-374973	1	FALSE
70 rna-NM_166757.3 NC_004353.4+ 359938-360284,360587-361006,362304-362613,362671-362882,362946-363134,363494-363639,364024-364941,365674-366762,369507-369744,369810-369964,371091-371357,371813-372176,372250-372784	1	FALSE
71 rna-NM_205873.3 NC_004353.4+ 359938-359980,360587-361006,362304-362613,362671-362882,362946-363134,363494-363639,363868-364941,365674-366762,369507-369744,369810-369964,371091-371357,371813-372176,372250-375554	1	FALSE
72 rna-NM_143673.3 NC_004353.4+ 629691-629979,631627-631894,632028-632129,632208-632388,632448-632715,633329-633432,633491-633860,633921-634124,634177-634344,634410-635350	1	FALSE
73 rna-NM_166779.4 NC_004353.4+ 629693-629979,631627-631894,632028-632129,632208-632388,632448-632715,633329-633432,633491-633860,633961-634124,634177-634344,634410-635350	1	FALSE
74 rna-NM_143682.4 NC_004353.4+ 1147466-1147618,1148989-1149213,1164882-1165487,1165550-1166367,1166666-1169239	1	FALSE
75 rna-NM_001272137.1 NC_004353.4+ 663621-663742,663855-664340,665951-666932,668420-668574,669130-669884	1	FALSE
76 rna-NM_001272138.1 NC_004353.4+ 663621-663742,663855-664340,664988-665305,665951-666932,669130-669884	1	FALSE
77 rna-NM_143676.2 NC_004353.4+ 663621-663742,663855-664340,664988-665305,665951-666932,668420-668574,669130-669884	1	FALSE
78 rna-NM_001272123.1 NC_004353.4+ 308093-308289,308431-309079,309539-309633,309694-310017,310079-310822	1	FALSE
79 rna-NM_143661.3 NC_004353.4+ 308093-308289,308431-309079,309539-309633,309694-310017,310079-310302	1	FALSE
80 rna-NM_166752.2 NC_004353.4+ 308093-308289,308413-309079,309539-309633,309694-310017,310079-310302	1	FALSE
81 rna-NM_143670.5 NC_004353.4+ 571755-571863,573613-574428,575335-575645,575702-576325,576979-578143	1	FALSE
82 rna-NM_166770.2 NC_004353.4+ 571755-571966,573613-574428,575335-575645,575702-576325,576979-578143	1	FALSE
83 rna-NM_166771.2 NC_004353.4+ 571755-572171,573613-574428,575335-575645,575702-576325,576979-580122	1	FALSE
84 rna-NM_143671.3 NC_004353.4+ 583108-583252,583789-583863,583936-584018,584762-584931,584990-585174,585298-585772,585840-585938,586902-587093,587843-588042,588572-589348	1	FALSE
85 rna-NM_166773.2 NC_004353.4+ 583108-583225,583789-583863,583936-584018,584762-584931,584990-585174,585298-585772,585840-585938,586902-587093,587843-588042,588572-589348	1	FALSE
86 rna-NM_001103379.2 NC_004353.4+ 132220-132287,133186-133235,133588-134964,136879-137167,137223-137332,137391-137752,137807-138310,138374-138574,140270-142127,142200-143123	1	FALSE
87 rna-NM_001272114.1 NC_004353.4+ 134766-134964,136879-137167,137223-137332,137391-137752,137807-138310,138374-138574,140270-142127,142200-143123	1	FALSE
88 rna-NM_166728.2 NC_004353.4+ 132220-132287,133186-133231,133588-134964,136879-137167,137223-137332,137391-137752,137807-138310,138374-138574,139822-140083	1	FALSE
89 rna-NM_166729.2 NC_004353.4+ 132220-132287,133186-133231,133588-133713,134671-134964,136879-137167,137223-137332,137391-137752,137807-138310,138374-138574,139822-140083	1	FALSE
90 rna-NM_166730.3 NC_004353.4+ 136272-136777,136879-137167,137223-137332,137391-137752,137807-138310,138374-138574,140270-142127,142200-143123	1	FALSE
91 rna-NM_166731.2 NC_004353.4+ 136272-136777,136879-137167,137223-137332,137391-137752,137807-138310,138374-138574,139822-140083	1	FALSE
92 rna-NM_166732.3 NC_004353.4+ 136272-136371,136691-136777,136879-137167,137223-137332,137391-137752,137807-138310,138374-138574,140270-142127,142200-143123	1	FALSE
93 rna-NM_166733.2 NC_004353.4+ 132220-132287,133186-133231,133588-133713,133795-133924,134825-134964,136879-137167,137223-137332,137391-137752,137807-138310,138374-138574,139822-140083	1	FALSE
94 rna-NM_205865.2 NC_004353.4+ 132220-132287,133186-133231,133588-133713,134671-134964,136879-137167,137223-137332,137391-137752,137807-138310,138374-138574,140270-142127,142200-143123	1	FALSE
95 rna-NM_166734.2 NC_004353.4+ 150764-150836,151742-152130,152195-152378,152439-152921,152984-153538	1	FALSE
96 rna-NM_001272124.1 NC_004353.4+ 314923-314957,316393-316509,319452-320039,328163-331387	1	FALSE
97 rna-NM_166753.3 NC_004353.4+ 314923-315179,316393-316509,319449-321385	1	FALSE
98 rna-NM_001014702.4 NC_004353.4+ 1186115-1186219,1186329-1186634,1187522-1187572,1187735-1187880,1188189-1188349,1189054-1189689,1189881-1190008,1190067-1190549,1192020-1192162,1192225-1192306,1192357-1192985	1	FALSE
99 rna-NM_001014703.3 NC_004353.4+ 1185768-1185966,1186473-1186634,1187522-1187614,1187735-1187880,1188189-1188349,1189054-1189689,1189881-1190008,1190067-1190549,1192020-1192162,1192225-1192306,1192357-1192537	1	FALSE
100 rna-NM_001014705.3 NC_004353.4+ 1185768-1185966,1186473-1186634,1187522-1187572,1187735-1187880,1188189-1188349,1189054-1189689,1189881-1190008,1190067-1190549,1192020-1192162,1192225-1192306,1192357-1192694	1	FALSE
101 rna-NM_001258506.2 NC_004353.4+ 1185768-1185834,1186473-1186634,1187522-1187614,1187735-1187880,1188189-1188349,1189054-1189689,1189881-1190008,1190298-1190549,1192020-1192162,1192225-1192306,1192357-1192537	1	FALSE
102 rna-NM_001031860.2 NC_004353.4+ 1231883-1232190,1233129-1233510,1234679-1234799,1241730-1241897,1243477-1243652,1243719-1243950,1244014-1244264,1245101-1245331,1245379-1245523,1245577-1245683,1245752-1245927,1245990-1246196,1247102-1247238,1248303-1248490,1248547-1248836,1250771-1250883,1254006-1254212,1255842-1255998,1261952-1262093,1262412-1262579,1264656-1264965,1265029-1265409,1270732-1270868,1270925-1271759	1	FALSE
103 rna-NM_001347760.1 NC_004353.4+ 467497-467693,467751-467994,469157-469330,471014-471476	1	FALSE
104 rna-NM_001258477.2 NC_004353.4+ 69653-69981,72321-72594,72817-72862,75068-75165,82638-82746,85712-85799,85853-85933,87017-87166,94423-94615,94837-95002,99406-99475,107403-114270	1	FALSE
105 rna-NM_166718.3 NC_004353.4+ 69653-69849,72321-72594,72817-72862,75068-75165,82638-82746,85712-85799,85853-85933,87017-87166,94423-94615,94837-95002,99406-99475,107403-110059	1	FALSE
106 rna-NM_166720.3 NC_004353.4+ 70405-70567,72321-72594,72817-72862,75068-75165,82638-82746,85712-85799,85853-85933,87017-87166,94423-94615,94837-95002,99406-99475,107403-110059	1	FALSE
107 rna-NM_166724.4 NC_004353.4+ 90355-93273,94423-94615,94837-95002,99406-99475,107403-110059	1	FALSE
108 rna-NM_001038713.4 NC_004353.4+ 254997-257404,258312-258466,258528-258672,259278-259370,259447-259604,261230-261511,261574-261724,261777-262519	1	FALSE
109 rna-NM_001258487.3 NC_004353.4+ 254997-257404,258312-258466,258528-258672,259278-259370,259447-259604,261230-261511,261574-261724,261777-262062,263206-263340,264352-264429,264486-264670,264744-265574	1	FALSE
110 rna-NM_001272121.2 NC_004353.4+ 254997-257404,258312-258466,258528-258672,259278-259370,259447-259604,261230-261511,261574-261724,261777-262062,263206-263340,264352-264429,264528-264670,264744-265075	1	FALSE
111 rna-NM_143657.5 NC_004353.4+ 254997-257404,258312-258466,258528-258672,259278-259370,259447-259604,261230-261511,261574-261724,261777-262062,262383-262667	1	FALSE
112 rna-NM_001258507.1 NC_004353.4+ 1219040-1219595,1219694-1220024,1220076-1220195,1220260-1220688,1221491-1221650,1221708-1221949,1222006-1222164,1222222-1223450	1	FALSE
113 rna-NM_001258508.2 NC_004353.4+ 1198858-1199175,1219694-1220024,1220076-1220195,1220317-1220688,1221491-1221650,1221708-1221949,1222006-1222164,1222222-1224467	1	FALSE
114 rna-NM_001110622.3 NC_004353.4+ 879-1079,1144-1410,1768-3851,4353-4527,4592-4824,4875-5039	1	FALSE
115 rna-NR_003113.2 NC_004353.4+ 975168-975906,976766-977261	1	FALSE
116 rna-NR_003114.2 NC_004353.4+ 975168-975562,976766-977261	1	FALSE
117 rna-NR_003115.1 NC_004353.4+ 975168-975810	1	FALSE
118 rna-NR_073623.1 NC_004353.4+ 976795-977261	1	FALSE
119 rna-NR_047709.1 NC_004353.4+ 626126-626212	1	FALSE
120 rna-NR_047711.2 NC_004353.4+ 867824-868026,868102-871426	1	FALSE
121 rna-NR_047708.1 NC_004353.4+ 426067-426601	1	FALSE
122 rna-NR_073611.1 NC_004353.4+ 56497-56549,57240-57411,59976-60415,62973-63124	1	FALSE
123 rna-NR_073612.1 NC_004353.4+ 56497-56549,57240-57411,59976-60415,60570-60974	1	FALSE
124 rna-NR_073615.1 NC_004353.4+ 276523-278174	1	FALSE
125 rna-NR_073617.1 NC_004353.4+ 427331-427711,429497-431769	1	FALSE
126 rna-NR_073616.2 NC_004353.4+ 395396-395954	1	FALSE
127 rna-NR_073620.1 NC_004353.4+ 881471-883402	1	FALSE
128 rna-NR_123750.1 NC_004353.4+ 879374-884752	1	FALSE
129 rna-NR_073621.1 NC_004353.4+ 959675-960038,962251-962347,962404-962692	1	FALSE
130 rna-NR_073622.1 NC_004353.4+ 959675-959846,962404-962692	1	FALSE
131 rna-NR_123752.1 NC_004353.4+ 959675-960038,962251-962347,962401-962692	1	FALSE
132 rna-NR_073625.1 NC_004353.4+ 1028281-1028328,1028710-1029359	1	FALSE
133 rna-NR_123742.1 NC_004353.4+ 44774-45417,45487-46074	1	FALSE
134 rna-NR_123744.2 NC_004353.4+ 194732-195900	1	FALSE
135 rna-NR_123749.1 NC_004353.4+ 851174-851624	1	FALSE
136 rna-NR_123741.1 NC_004353.4+ 42774-43157,43231-43374	1	FALSE
137 rna-NR_123745.1 NC_004353.4+ 380724-380811,381045-381275	1	FALSE
138 rna-NR_123746.1 NC_004353.4+ 459768-459907,460056-461413	1	FALSE
139 rna-NR_123743.1 NC_004353.4+ 175455-175639,175699-175874	1	FALSE
